microregion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cachoeira do Sul,15570,16350,16350,17150,17250,15795,19475,19275,19460,20000,17240,17500,15400,17600,17100,16754,15434,16602,13510,14150,13180,15890,19452
Camaquã,16670,16670,17420,15430,14050,9368,16310,18830,18380,17630,17830,18080,18680,18915,19115,17750,17080,18290,16660,15038,15016,15528,16928
Campanha Central,11700,12000,12600,12600,13000,12000,7450,6450,9350,7150,7150,5200,7000,6860,7900,7900,7900,9300,7900,7850,6950,7250,7402
Campanha Meridional,10100,9870,10500,10200,10200,5850,8650,9000,9500,9400,9300,9600,10500,5150,5158,2558,2500,3890,5200,3850,5400,5295,8102
Campanha Ocidental,29486,30590,28865,30300,29400,31490,35830,34100,28150,28650,27150,21770,21200,23050,23530,20328,22135,23450,23040,24340,24904,27980,37783
Carazinho,64300,80220,59900,56600,53600,51800,69200,62340,72790,67600,54975,60550,67950,62920,48762,44512,35670,41962,35853,38650,41587,40650,36362
Caxias do Sul,26672,27955,27185,26655,25830,22520,23725,23540,23750,23380,23180,23810,18320,20920,19265,19115,18195,17275,18384,19645,19125,18614,18110
Cerro Largo,41625,45700,33850,38300,31000,34375,44950,45900,48800,48900,42830,39220,38340,34800,21450,18601,17238,19607,17964,18250,18500,19311,17861
Cruz Alta,52095,65205,43640,41905,34415,33800,55550,47100,56300,54300,31280,27550,38280,33284,30930,27850,24146,28859,20445,23357,26130,26895,27770
Erechim,134785,144684,131255,126945,119435,113781,120900,105620,102850,101350,72060,63190,70680,60690,54410,45390,32260,40790,30358,37578,39198,41208,39962
Frederico Westphalen,117245,128450,110350,110460,104895,102811,117610,111680,117120,118970,105830,99425,96850,84010,80451,75845,57550,64355,48180,51480,48850,45860,42802
Gramado-Canela,10090,9390,8270,7995,8325,6460,7975,7870,7682,7622,7572,7095,6375,5702,6050,5940,5850,6120,6140,5660,5615,5661,5840
Guaporé,72635,74885,74975,73140,71195,67370,69080,66820,68280,67900,61500,60150,57625,47365,42265,40185,34150,37685,32790,35368,31520,32065,36285
Ijuí,51500,60730,44180,30050,21160,23840,34100,32850,35650,37550,26650,24500,27682,26855,24835,23560,18875,25397,21832,24255,23625,22785,20594
Jaguarão,5600,4700,5000,5600,6100,5300,5200,5200,4700,5200,3900,3950,3820,4100,2650,4025,3590,3970,2530,2900,2480,2490,3500
Lajeado-Estrela,54610,55211,52368,51726,50308,47040,49010,46395,46882,44205,40400,38795,37145,34920,34355,31540,25735,26110,23905,22555,22300,21535,18635
Litoral Lagunar,1130,1400,780,766,766,298,700,280,240,330,326,199,243,205,425,395,500,530,480,497,500,500,1478
Montenegro,12712,12737,12597,11612,11845,11035,10975,11060,10960,10480,9930,10160,10005,4145,4120,3955,4245,4365,3877,3730,4310,4380,4255
Não-Me-Toque,18900,23402,19050,16850,12950,12900,17400,15750,16620,18980,14420,12720,15100,11850,10160,9560,8460,8888,7310,8130,8680,9175,9205
Osório,6941,7143,6858,7208,7078,6608,7356,6961,7281,7191,7044,7203,7002,7248,6536,5548,5303,5760,5973,6184,6062,5878,6412
Passo Fundo,116550,125474,102470,92850,83300,79640,95970,82650,89420,91120,69075,62675,67120,50060,46900,41355,30780,33940,27240,31560,37680,39325,38885
Pelotas,105000,106700,101550,98050,85700,66720,61900,78500,68400,66550,60145,65850,53160,54500,52060,49860,44780,50200,40480,42980,36413,42250,38405
Porto Alegre,4326,4423,4075,4935,5336,3986,4494,4721,4648,4326,4265,4817,4253,3855,3768,4208,3768,3584,3496,3521,3520,3501,3801
Restinga Seca,18280,18380,17620,16850,15450,13900,16750,16750,15950,14350,13050,12800,12785,12070,10820,10795,8490,8615,8390,7830,7125,7462,7450
Sananduva,60900,69030,52500,46850,41180,42400,50250,41430,39900,38700,27000,21400,27850,21800,18650,14700,10250,12090,10560,12250,14750,17500,17750
Santa Cruz do Sul,78800,75600,75250,79040,79350,67526,83750,83550,83500,81250,75650,75400,68375,68720,67575,67002,61735,60390,55884,51470,43510,45040,44538
Santa Maria,28440,29840,29890,28750,27880,26900,30600,28590,29500,27650,23300,23900,20640,19530,18140,17442,14902,15620,13890,11700,11020,13800,10405
Santa Rosa,69617,76420,62150,63740,51599,50200,66750,67950,68950,66815,60725,60300,58380,60000,35230,33311,29358,33453,30152,38089,37803,37913,32488
Santiago,31050,43350,34930,32430,24650,23656,31550,27950,26510,28990,21850,19000,21420,16010,14902,16535,11847,14505,11535,11990,11540,12383,14956
Santo Ângelo,69780,76860,58268,51650,38410,36080,54720,54875,56975,60050,45700,40250,37800,35099,34520,36270,36735,50349,40457,51597,52272,54502,51407
São Jerônimo,15950,17400,17650,15700,26850,9475,16750,16450,15800,13465,13110,14280,13480,11922,8912,7525,7795,8535,6380,7430,6535,7160,7250
Serras de Sudeste,38500,44100,44300,43600,41300,28200,27650,29350,24500,23100,23100,15900,15515,19900,16400,13150,12630,13230,14500,14000,12250,11830,12560
Soledade,17400,17214,17750,18390,16710,15315,17750,17000,17000,17700,16400,16550,15310,13250,12200,11254,10724,10354,9800,8992,7442,7870,9352
Três Passos,79300,82480,76390,65900,54630,50900,60250,58320,56300,75400,46790,46600,49100,53215,46460,44285,39540,44691,39555,41506,44086,44886,43550
Vacaria,49500,61400,54050,66550,68150,76780,81480,80280,83900,79500,70670,69920,85835,83208,79510,65790,60360,68460,51510,64715,61695,65770,72265
